index,original_name,specific_price
FLi,LiF,0.0325
FNa,NaF,1.61
KF,KF,5.3
F2Mg,MgF2,0.87
CaF2,CaF2,0.12
ClLi,LiCl,8.0
ClNa,NaCl,0.049
ClK,KCl,0.455
Cl2Mg,MgCl2,0.342
CaCl2,CaCl2,0.2
CLi2O3,Li2CO3,7.05
CNa2O3,Na2CO3,0.324
CK2O3,K2CO3,1.1
Cu,Copper (Cu),3.25
Ni,Nickel (Ni),6.25
Cr,Chromium (Cr),5.25
V,Vanadium (V),205.0
Metallurgical Silicon,Silicon (Si),1.35
B,Boron (B),22.5
Al,Aluminium (Al),1.75
