,0,1,2,3
0,Country,Installed,Hydro Electricity,Share of Electricity
1,,Capacity,Production,Generation
2,,(GW),(TWh),(%)
3,China,210,694,14.8
4,Brazil,84,403,80.2
5,Canada,74,379,62.0
6,United States,79,328,7.6
7,Russia,50,165,15.7
8,India,38,132,13.1
9,Norway,30,122,95.3
10,Japan,28,85,7.8
11,Venezuela,,84,68
12,Sweden,,67,42.2
13,World Total,936,3300,16
