,year,label,C_kwh_orig,ancat,type,anode,cathode,anode_price,cathode_price,anode_mm,cathode_mm,specific_price,deltaV,specific_energy,C_kwh
28,2017.0,"Aq-S/air 
(Li, OH-)",13.2,S2/O2,Flow-air,S,O2,0.25,0.0,32.06,31.998,0.12512098410815198,1,0.41839253315571645,0.2990516660620822
29,1984.0,C6/LMO,45.6,C6/LiMn2O4,Li ion  (C6 anode),C6,LiMn2O4,12.0,10.0,72.066,180.812086,10.569966351295461,3,0.3179562449973094,33.2434620096388
30,1991.0,C6/LCO,98.3,C6/LiCoO2,Li ion  (C6 anode),C6,LiCoO2,12.0,40.0,72.066,97.871194,28.12591903806532,3,0.4731404866357077,59.445175022024145
31,1997.0,C6/LFP,44.0,C6/LiFePO4,Li ion  (C6 anode),C6,LiFePO4,12.0,10.0,72.066,157.754761998,10.627149604530745,3,0.3498559745762499,30.375784256371457
32,1997.0,C6/LMNO,51.3,C6/LiMn1.5Ni0.5O4,Li ion  (C6 anode),C6,LiMn1.5Ni0.5O4,12.0,20.0,72.066,182.6897645,17.736938352969048,3,0.31561274707354725,56.19842201378454
33,1998.0,LTO/LMO,90.1,Li4Ti5O12/LiMn2O4,Li ion  (C6 anode),Li4Ti5O12,LiMn2O4,12.0,10.0,459.08299999999997,180.812086,11.434869590481586,3,0.1256521083311877,91.00419994817847
34,2001.0,C6/NCM111,51.3,C6/LiNi0.33Co0.33Mn0.33O2,Li ion  (C6 anode),C6,LiNi0.33Co0.33Mn0.33O2,12.0,20.0,72.066,95.88433021,16.567270815847003,3,0.4787377706619078,34.60614940187594
35,2002.0,C6/LMP,36.3,C6/LiMnPO4,Li ion  (C6 anode),C6,LiMnPO4,12.0,10.0,72.066,156.84780499800002,10.629634372646331,3,0.3512421047187134,30.26298450511479
36,2002.0,C6/NCA,68.3,C6/LiNi0.8Co0.15Al0.05O2,Li ion  (C6 anode),C6,LiNi0.8Co0.15Al0.05O2,12.0,34.0,72.066,96.08177602,24.571079573413915,3,0.47817561772035067,51.3850532374566
37,2005.0,"C6/LRMO 
LMNO",35.6,C6/(Li2MnO3)0.3(LiMn0.5Ni0.5O2)0.7,Li ion  (C6 anode),C6,(Li2MnO3)0.3(LiMn0.5Ni0.5O2)0.7,12.0,20.0,72.066,102.07211795,16.689248702196622,3,0.4617264020836207,36.14532031714774
38,2016.0,C6/NCM622,47.1,C6/LiNi0.6Co0.2Mn0.2O2,Li ion  (C6 anode),C6,LiNi0.6Co0.2Mn0.2O2,12.0,25.0,72.066,96.9282874,19.456274147406475,3,0.4757803823057907,40.89339298336529
39,2009.0,Si/LCO,97.2,Si/LiCoO2,Li ion  (Si anode),Si,LiCoO2,40.0,40.0,28.085,97.871194,40.0,3,0.638350239978406,62.6615257501166
40,2010.0,Si/Li2S,12.5,Si/Li2S,Li ion  (Si anode),Si,Li2S,40.0,1.87,28.085,45.940000000000005,16.33647821681864,3,1.0861758414949905,15.04036233611442
41,2001.0,Na/P2-NMO,38.9,Na/Na0.67Mn0.67Ni0.33O2,Na ion (nonaqueous),Na,Na0.67Mn0.67Ni0.33O2,3.0,15.0,22.98976928,103.5784562276,12.820327888349556,3,0.635263442654797,20.181120189716538
43,2013.0,NTP/NMO,212.4,NaTi2(PO4)3/Na0.44MnO2,Na ion (aqueous),NaTi2(PO4)3,Na0.44MnO2,10.0,5.0,403.633055274,97.05154148320001,9.030811591650943,1,0.05352948555332898,168.70723673691873
