,0,1,2
0,Storage Technology,Installed Capacity,% Share
1,,(GW),
2,2016 World Total,168.6,100
3,Pumped-hydro,162.2,96.2
4,Electrochemical,1.6,0.95
5,Thermal,3.2,1.9
6,Electromechanical,1.6,0.95
7,New project capacities,,
8,under construction,,
9,2016,2,
10,2017,5,
11,2018,6,
