,0,1,2,3,4,5,6,7
0,Cathode,Battery,Theor.,Actual,%,Theor.,Actual,%
1,chemistry,size,Wh/l,Wh/l,Realized,Wh/kg,Wh/kg,Realized
2,LiFePO4,54 208,1980,292,14.8,587,156,26.6
3,LiFePO4,16 650,1980,223,11.3,587,113,19.3
4,LiMn2O4,26 700,2060,296,14.4,500,109,21.8
5,LiCoO4,18 650,2950,570,19.3,1000,250,25.0
6,"Sr-LiMO4 
Panasonic",18 650,2950,919,31.2,1000,252,25.2
