,Salt,Composition (wt%),"Melting point
(°C)","Maximum operation temperature
(°C)","Cost, (USD
$/kg)","Cost, (USD$/kW h)",Supplier
0,Solar Salt,NaNO3–KNO3(60–40),220,585,0.49,5.8 (ΔT ¼200 K),"Chilean Nitrate or Coastal
Chemical"
1,Hitec,"NaNO3–KNO3–NaNO2 (7–53–
40)",142,"450-538
610–710 under different atmo-",0.93,10.7 (ΔT ¼ 200 K),Coastal Chemical
2,Hitec XL,NaNO3–KNO3–Ca(NO3)2 (7–,120,"spheres [23]
480–505",1.43,18.2 (ΔT ¼ 200 K),Coastal Chemical
3,Therminol VP-1,"45–48)
–",–,400,3.96,57.5 (ΔT ¼ 100 K),Solutia
