index,original_name,molecular_formula,search_text
Co, Cobalt Powder,Co,Co Cobalt Powder
Co, Cobalt metal,Co,Co Cobalt metal
Co, Cobalt LME,Co,Co Cobalt LME
Co, Cobalt Spot,Co,Co Cobalt Spot
Co3O4,Cobalt Tetroxide,Co3O4,Co3O4 Cobalt Tetroxide
Co3O4, Cobalt oxides,Co3O4,Co3O4 Cobalt oxides
CoCl2,Cobalt Chloride,CoCl2,CoCl2 Cobalt Chloride
CoO,Cobalt Monoxide,CoO,CoO Cobalt Monoxide
CoSO4,Cobalt sulphates,CoSO4,CoSO4 Cobalt sulphates
Cr,Chromium (Cr),Cr,Cr Chromium (Cr)
Cr, Chromium Metal,Cr,Cr Chromium Metal
Cr, Chromium metal,Cr,Cr Chromium metal
Cr2O3,Cr2O3 chromium oxide,Cr2O3,Cr2O3 Cr2O3 chromium oxide
CrCl3(H2O)6,CrCl3 6H2O,CrCl3(H2O)6,CrCl3(H2O)6 CrCl3 6H2O
CrFeO4,Chrome Conc.,CrFeO4,CrFeO4 Chrome Conc.
CrFeO4, Chrome lump,CrFeO4,CrFeO4 Chrome lump
CrFeO4, Chromium Ore,CrFeO4,CrFeO4 Chromium Ore
Cu,Copper (Cu),Cu,Cu Copper (Cu)
Cu, Copper COMEX,Cu,Cu Copper COMEX
Cu, Copper LME,Cu,Cu Copper LME
Cu, Copper US,Cu,Cu Copper US
CuCl,CuCl,CuCl,CuCl
CuO,Copper Oxide CuO,CuO,CuO Copper Oxide CuO
CuSO4,Copper Sulfate CuSO4,CuSO4,CuSO4 Copper Sulfate CuSO4
Diamond,Diamond (Industrial) Bort_Imports,C,Diamond Diamond (Industrial) Bort_Imports
Diamond, Diamond (Industrial) Stones_Imports,C,Diamond Diamond (Industrial) Stones_Imports
Diatomite,Diatomite ,SiO2,Diatomite
Dy2O3,Rare Earths Dy2O3,Dy2O3,Dy2O3 Rare Earths Dy2O3
Eu2O3,Rare Earths Eu2O3,Eu2O3,Eu2O3 Rare Earths Eu2O3
Fe,Iron and Steel Scrap ,Fe,Fe Iron and Steel Scrap
Fe, Iron and Steel Slag ,Fe,Fe Iron and Steel Slag
FeCl2,FeCl2,FeCl2,FeCl2
FeCr,Chromium Ferrrochromium,FeCr,FeCr Chromium Ferrrochromium
FeSO4,Iron Sulfate FeSO4,FeSO4,FeSO4 Iron Sulfate FeSO4
FeSi2,Silicon FeSi2_50,FeSi2,FeSi2 Silicon FeSi2_50
FeSi2, Silicon FeSi2_75,FeSi2,FeSi2 Silicon FeSi2_75
FeTiO3,Ilmenite Conc,FeTiO3,FeTiO3 Ilmenite Conc
FeTiO3, Ilmenite Reduced,FeTiO3,FeTiO3 Ilmenite Reduced
FeTiO3, Rutile Conc,FeTiO3,FeTiO3 Rutile Conc
FeTiO3, Titanium Slag,FeTiO3,FeTiO3 Titanium Slag
FeTiO3, Titanium Mineral Concentrates Ilmenite,FeTiO3,FeTiO3 Titanium Mineral Concentrates Ilmenite
FeTiO3, Titanium Mineral Concentrates Ilmente_Leucoxene,FeTiO3,FeTiO3 Titanium Mineral Concentrates Ilmente_Leucoxene
Feldspar,Feldspar and Nepheline Syenite Feldspar,AlKO8Si3,Feldspar Feldspar and Nepheline Syenite Feldspar
GRE,E-Glass Epoxy,,GRE E-Glass Epoxy
GRE, S-2 Glass Epoxy,,GRE S-2 Glass Epoxy
Ga, Gallium High-purity,Ga,Ga Gallium High-purity
Ga, Gallium Low-purity,Ga,Ga Gallium Low-purity
Ga, Garnet (Industrial) Import,Ga,Ga Garnet (Industrial) Import
Ga, Gallium metal,Ga,Ga Gallium metal
Ge,Germanium Metal,Ge,Ge Germanium Metal
Ge, Germanium metal,Ge,Ge Germanium metal
GeO2,Germanium GeO2,GeO2,GeO2 Germanium GeO2
GeO2, Germanium dioxides,GeO2,GeO2 Germanium dioxides
Graphene,Graphene,C6,Graphene
Graphene Oxide,Graphene Oxide,C7H2O,Graphene Oxide
Graphite,Expanded Natural,C6,Graphite Expanded Natural
Graphite, Graphite,C6,Graphite
Graphite, Graphite (Natural) Amorphous,C6,Graphite Graphite (Natural) Amorphous
Graphite, Graphite (Natural) Flake,C6,Graphite Graphite (Natural) Flake
Graphite, Graphite (Natural) Lump,C6,Graphite Graphite (Natural) Lump
Gravel,Sand and Gravel (Construction) ,C15H21NO,Gravel Sand and Gravel (Construction)
Gravel, Sand and Gravel (Industrial) ,C15H21NO,Gravel Sand and Gravel (Industrial)
H2SO4,H2SO4,H2SO4,H2SO4
H3N,Anhydrous,H3N,H3N Anhydrous
H3N, Nitrogen (Fixed)--Ammonia ,H3N,H3N Nitrogen (Fixed)--Ammonia
H3N, Silica Gel,H3N,H3N Silica Gel
HBr,HBr,HBr,HBr
HCl,HCl,HCl,HCl
Hf,Zirconium and Hafnium Hf_unwrought,Hf,Hf Zirconium and Hafnium Hf_unwrought
Hg, Mercury EU,Hg,Hg Mercury EU
Hg, Mercury Global,Hg,Hg Mercury Global
Hitec,Hitec,,Hitec
Hitec XL,HITEC XL,(NaNO3)7(KNO3)45(Ca(NO3)2)48,Hitec XL HITEC XL
Hitec XL, NaNO3e KNO3eCa(NO3)2,(NaNO3)7(KNO3)45(Ca(NO3)2)48,Hitec XL NaNO3e KNO3eCa(NO3)2
Hitec XL, Hitec XL,(NaNO3)7(KNO3)45(Ca(NO3)2)48,Hitec XL
I2,Iodine Crude_CIF,I2,I2 Iodine Crude_CIF
In, Indium FOB,In,In Indium FOB
In, Indium NY,In,In Indium NY
In, Indium Rotterdam,In,In Indium Rotterdam
In, Indium ingot,In,In Indium ingot
