year,factor
1913,30.52755102040816
1914,29.917
1915,29.620792079207924
1916,28.766346153846154
1917,25.570085470085473
1918,21.369285714285716
1919,18.131515151515153
1920,15.501036269430053
1921,15.745789473684212
1922,17.70236686390533
1923,17.807738095238097
1924,17.29306358381503
1925,17.29306358381503
1926,16.71340782122905
1927,17.095428571428574
1928,17.29306358381503
1929,17.4953216374269
1930,17.4953216374269
1931,18.81572327044025
1932,20.920979020979022
1933,23.191472868217055
1934,22.664393939393943
1935,21.99779411764706
1936,21.678985507246377
1937,21.217730496453903
1938,21.068309859154933
1939,21.369285714285716
1940,21.523021582733815
1941,21.217730496453903
1942,19.055414012738854
1943,17.70236686390533
1944,17.193678160919543
1945,16.807303370786517
1946,16.43791208791209
1947,13.914883720930233
1948,12.623206751054854
1949,12.465416666666668
1950,12.730638297872341
1951,11.778346456692915
1952,11.289433962264152
1953,11.246992481203007
1954,11.121561338289965
1955,11.204868913857679
1956,11.163059701492537
1957,10.839492753623189
1958,10.460489510489511
1959,10.316206896551725
1960,10.210580204778157
1961,10.039261744966444
1962,9.972333333333333
1963,9.841118421052633
1964,9.681877022653723
1965,9.588782051282053
1966,9.407861635220126
1967,9.093313069908815
1968,8.773313782991202
1969,8.403651685393259
1970,7.9145502645502654
1971,7.516834170854272
1972,7.279075425790754
1973,7.022769953051643
1974,6.419957081545064
1975,5.742226487523992
1976,5.380755395683454
1977,5.114017094017094
1978,4.78672
1979,4.380234260614935
1980,3.845372750642674
1981,3.438735632183908
1982,3.17253446447508
1983,3.0589979550102253
1984,2.935917566241413
1985,2.835734597156398
1986,2.7296532846715333
1987,2.690377697841727
1988,2.5857389801210027
1989,2.4704376548307185
1990,2.348273155416013
1991,2.222659732540862
1992,2.1663287472845765
1993,2.09796633941094
1994,2.046306429548564
1995,1.9904856952761143
1996,1.9376295336787566
1997,1.880389692017599
1998,1.8512995049504952
1999,1.8208764455264759
2000,1.7723341232227487
2001,1.7085665334094804
2002,1.6892715979672503
2003,1.6465052283984591
2004,1.6153887688984883
2005,1.5687991609858418
2006,1.5086737266767525
2007,1.4779958106078572
2008,1.4173299223043396
2009,1.4169070250967355
2010,1.3806550462187395
2011,1.3584866249211027
2012,1.3198773520393534
2013,1.2991575473336807
2014,1.2789633885668361
2015,1.2801071427043265
2016,1.2627682385318004
2017,1.2319685058824983
2018,1.2069779357478003
2019,1.188540872107806
2020,1.1597039977361796
2021,1.1436949025544572
2022,1.0641014696885627
2023,1.0
